Iter 144/500 | gameLen= 11.6 | pl=2.1500  vl=0.3160 | buf=200000 | lr=2.00e-03 | sims=200 | 1433s
Iter 145/500 | gameLen= 11.8 | pl=2.1448  vl=0.3142 | buf=200000 | lr=2.00e-03 | sims=200 | 1442s
Iter 146/500 | gameLen= 11.0 | pl=2.1512  vl=0.3126 | buf=200000 | lr=2.00e-03 | sims=200 | 1452s
Iter 147/500 | gameLen= 10.5 | pl=2.1441  vl=0.3101 | buf=200000 | lr=2.00e-03 | sims=200 | 1461s
Iter 148/500 | gameLen= 12.4 | pl=2.1360  vl=0.3126 | buf=200000 | lr=2.00e-03 | sims=200 | 1470s
Iter 149/500 | gameLen= 10.6 | pl=2.1352  vl=0.3071 | buf=200000 | lr=2.00e-03 | sims=200 | 1480s
Iter 150/500 | gameLen= 10.3 | pl=2.1253  vl=0.3079 | buf=200000 | lr=2.00e-03 | sims=200 | 1489s
  [eval]  vs random=1.00   vs heuristic=0.10
  [ckpt]  saved checkpoint_0150.pt
Iter 151/500 | gameLen= 12.0 | pl=2.1283  vl=0.3090 | buf=200000 | lr=2.00e-03 | sims=200 | 1500s
Iter 152/500 | gameLen= 11.1 | pl=2.1218  vl=0.3068 | buf=200000 | lr=2.00e-03 | sims=200 | 1510s
Iter 153/500 | gameLen= 11.0 | pl=2.1201  vl=0.3041 | buf=200000 | lr=2.00e-03 | sims=200 | 1520s
Iter 154/500 | gameLen= 11.0 | pl=2.1141  vl=0.3024 | buf=200000 | lr=2.00e-03 | sims=200 | 1530s
Iter 155/500 | gameLen= 10.1 | pl=2.1100  vl=0.2980 | buf=200000 | lr=2.00e-03 | sims=200 | 1540s
Iter 156/500 | gameLen=  9.7 | pl=2.1193  vl=0.2961 | buf=200000 | lr=2.00e-03 | sims=200 | 1548s
Iter 157/500 | gameLen= 11.1 | pl=2.1157  vl=0.2978 | buf=200000 | lr=2.00e-03 | sims=200 | 1558s
Iter 158/500 | gameLen= 10.0 | pl=2.1122  vl=0.2937 | buf=200000 | lr=2.00e-03 | sims=200 | 1567s
Iter 159/500 | gameLen= 10.9 | pl=2.1108  vl=0.2947 | buf=200000 | lr=2.00e-03 | sims=200 | 1577s
Iter 160/500 | gameLen= 11.4 | pl=2.1094  vl=0.2968 | buf=200000 | lr=2.00e-03 | sims=200 | 1587s
Iter 161/500 | gameLen= 10.5 | pl=2.1071  vl=0.2901 | buf=200000 | lr=2.00e-03 | sims=200 | 1597s
Iter 162/500 | gameLen= 12.4 | pl=2.1191  vl=0.2955 | buf=200000 | lr=2.00e-03 | sims=200 | 1607s
Iter 163/500 | gameLen= 10.9 | pl=2.1152  vl=0.2881 | buf=200000 | lr=2.00e-03 | sims=200 | 1617s
Iter 164/500 | gameLen= 11.6 | pl=2.1004  vl=0.2922 | buf=200000 | lr=2.00e-03 | sims=200 | 1627s
Iter 165/500 | gameLen= 10.4 | pl=2.0891  vl=0.2885 | buf=200000 | lr=2.00e-03 | sims=200 | 1637s
Iter 166/500 | gameLen=  9.7 | pl=2.0933  vl=0.2857 | buf=200000 | lr=2.00e-03 | sims=200 | 1646s
Iter 167/500 | gameLen= 12.1 | pl=2.0942  vl=0.2840 | buf=200000 | lr=2.00e-03 | sims=200 | 1655s
Iter 168/500 | gameLen= 11.3 | pl=2.0981  vl=0.2845 | buf=200000 | lr=2.00e-03 | sims=200 | 1665s
Iter 169/500 | gameLen= 10.7 | pl=2.0845  vl=0.2791 | buf=200000 | lr=2.00e-03 | sims=200 | 1674s
Iter 170/500 | gameLen= 11.3 | pl=2.0900  vl=0.2821 | buf=200000 | lr=2.00e-03 | sims=200 | 1684s
Iter 171/500 | gameLen= 11.3 | pl=2.0804  vl=0.2784 | buf=200000 | lr=2.00e-03 | sims=200 | 1694s
Iter 172/500 | gameLen=  8.0 | pl=2.0722  vl=0.2775 | buf=200000 | lr=2.00e-03 | sims=200 | 1702s
Iter 173/500 | gameLen= 12.3 | pl=2.0775  vl=0.2799 | buf=200000 | lr=2.00e-03 | sims=200 | 1712s
Iter 174/500 | gameLen= 10.6 | pl=2.0807  vl=0.2806 | buf=200000 | lr=2.00e-03 | sims=200 | 1721s
Iter 175/500 | gameLen=  9.2 | pl=2.0685  vl=0.2764 | buf=200000 | lr=2.00e-03 | sims=200 | 1730s
Iter 176/500 | gameLen= 10.3 | pl=2.0667  vl=0.2796 | buf=200000 | lr=2.00e-03 | sims=200 | 1739s
Iter 177/500 | gameLen= 10.4 | pl=2.0565  vl=0.2784 | buf=200000 | lr=2.00e-03 | sims=200 | 1749s
Iter 178/500 | gameLen= 12.6 | pl=2.0659  vl=0.2836 | buf=200000 | lr=2.00e-03 | sims=200 | 1760s
Iter 179/500 | gameLen= 10.5 | pl=2.0691  vl=0.2811 | buf=200000 | lr=2.00e-03 | sims=200 | 1769s
Iter 180/500 | gameLen= 10.0 | pl=2.0690  vl=0.2815 | buf=200000 | lr=2.00e-03 | sims=200 | 1779s
Iter 181/500 | gameLen=  9.8 | pl=2.0733  vl=0.2725 | buf=200000 | lr=2.00e-03 | sims=200 | 1788s
Iter 182/500 | gameLen= 12.5 | pl=2.0762  vl=0.2774 | buf=200000 | lr=2.00e-03 | sims=200 | 1799s
Iter 183/500 | gameLen=  9.9 | pl=2.0792  vl=0.2755 | buf=200000 | lr=2.00e-03 | sims=200 | 1808s
Iter 184/500 | gameLen= 10.9 | pl=2.0698  vl=0.2786 | buf=200000 | lr=2.00e-03 | sims=200 | 1822s
Iter 185/500 | gameLen= 10.5 | pl=2.0676  vl=0.2714 | buf=200000 | lr=2.00e-03 | sims=200 | 1831s
